month,n_years,ndvi_clim_mean,ndvi_clim_std,ndvi_clim_p10,ndvi_clim_p25,ndvi_clim_p75,ndvi_clim_p90,ndvi_clim_min,ndvi_clim_max,evi_clim_mean,evi_clim_std,evi_clim_p10,evi_clim_p25,evi_clim_p75,evi_clim_p90,evi_clim_min,evi_clim_max
1,20,0.6475412521911389,0.05312179866539262,0.5953769956051868,0.6119953587164699,0.7013862490449061,0.7125881629100798,0.5448096208747922,0.7361803657218385,0.38709171299365713,0.04562677202759695,0.34400302190381504,0.3579019358543255,0.42259152895197394,0.44238152305126616,0.28728085152931754,0.46126981258450095
2,21,0.5909230095858058,0.05961512604276679,0.5357915707680999,0.5557064798708246,0.623698042803862,0.6632853484062029,0.47342779028793297,0.7073158670817026,0.350712454678928,0.04694032505990028,0.2917258995486411,0.31756956755327986,0.3701446864624643,0.40897104606386225,0.2720169607503996,0.4601904132558348
3,21,0.5736754051352864,0.05602075852308806,0.5060810285960221,0.5425692845337278,0.5994564280837866,0.6482694953864534,0.49657816731868265,0.7102102185700494,0.34031654189525995,0.04323529229057577,0.28876935395325787,0.3147686515543595,0.36412545967464377,0.39432081169158284,0.272542069211233,0.43500479337926057
4,21,0.5962677133849185,0.0423357349856222,0.5380244982974397,0.5747750515429512,0.6148338486830391,0.624457238335661,0.5130316351027348,0.6881075162004451,0.3655396262958187,0.03885880229888608,0.3058369737536363,0.350694570458524,0.38899791359470287,0.40280735307124915,0.2979594718745609,0.4302740236849667
5,21,0.6335830289361826,0.07068491240134123,0.5457019417988298,0.5785691792413774,0.6820312707124266,0.7149085976355266,0.4858935515938733,0.7300857149216043,0.39795654032619576,0.036188356729891985,0.35549001695571286,0.3751012684523662,0.42961145259503897,0.43985710563733876,0.3128278244424904,0.4432815090620627
6,21,0.5857240350317562,0.0677791884157814,0.4980986486500727,0.5525935462045759,0.634825388517717,0.6833763563132492,0.466181759516085,0.6989599282419213,0.3635960600177807,0.04133914817166644,0.30769152295362695,0.34262129971508387,0.3891440126517374,0.4207670788985693,0.2865261995593232,0.4400733585325357
7,21,0.5297252487068197,0.07267516305271013,0.4548497171431782,0.4797214461881857,0.577697401209273,0.6161284602265912,0.3480617703770059,0.626451572899884,0.30533499058192326,0.037228147827259604,0.26748794459322117,0.28535431264519084,0.3293789942314384,0.3507471892222079,0.21147790095042932,0.3614836154068101
8,21,0.5358108783258875,0.05045903871664639,0.4819646877585753,0.4928028817863541,0.5813323206110174,0.5876776224730088,0.42526783339562,0.6123573669848251,0.2985241119474378,0.028127355243675923,0.2591391237009669,0.2814526979854168,0.31700507151685625,0.3342662057507947,0.2350037259678432,0.33869398188583055
9,21,0.5361837038983391,0.04243195340589291,0.47343651296858164,0.5230945844199688,0.5657978406764406,0.5779077051465782,0.43952248253216236,0.5955819457244923,0.3084099355630313,0.02678130938289208,0.2655791062963085,0.29390314173147736,0.33038734509834183,0.3362077842247268,0.24400672951118724,0.34420008835386934
10,21,0.5249311804931573,0.06982877272994877,0.45402243691867417,0.5172485251891743,0.5674565201996333,0.5898057610852452,0.2910342899331455,0.6059995611789792,0.3071158149113276,0.04582331577928356,0.25716953646669494,0.2884288118998794,0.3345358953817457,0.3523380020177881,0.19256449328751263,0.37486649778282666
11,21,0.616782418782158,0.04984872293610058,0.561673618204845,0.5787320434402379,0.6522659096935377,0.677399604017486,0.5262326934538135,0.6930936543112216,0.3757882997213529,0.03910232435959815,0.3279333576968576,0.356292310217228,0.3992731985670379,0.4273524225089682,0.29867333552032355,0.44774081173504054
12,21,0.6765580034504013,0.033937241316823116,0.6408850292984484,0.6613839577373668,0.6886902418943192,0.724762466185265,0.6019394002638928,0.7360633272142866,0.4056985760276411,0.032098695692529974,0.36750190541866995,0.3867810965413932,0.41962966787943407,0.44721290593960067,0.33864951122984216,0.46439215046711785
