year,month,date,ndvi_mean,ndvi_std,evi_mean,evi_std,n_images
2018,1,2018-01-15,0.5402198801335997,0.20453871018710498,0.32832907789260746,0.14781604049164213,2
2018,2,2018-02-15,0.6477877698735959,0.14635081987075696,0.3989880825362954,0.10905537402718085,1
2018,12,2018-12-15,0.5911704430583057,0.20205550476458808,-0.3589555782500547,1976.9463646939678,13
2019,1,2019-01-15,0.600976732709904,0.18822261844977528,0.3935973550940783,0.34931326117482897,26
2019,2,2019-02-15,0.5013609714424165,0.20417360896662812,0.29026717885327197,60.32893878164284,28
2019,3,2019-03-15,0.4504117837874995,0.21833628010225756,2.6479874538772425,6644.342449524851,28
2019,4,2019-04-15,0.3988770733266169,0.21632425548728093,0.28643119307025455,49.178678679483255,20
2019,5,2019-05-15,0.4450868506257868,0.23495878554979893,1.590919888658405,2714.255781527143,14
2019,6,2019-06-15,0.43040569903968495,0.1821849989096022,1.934689663138894,2433.4928265098456,11
2019,7,2019-07-15,0.44824057412226564,0.19560970209543155,1.0238228555926217,895.3417758592975,15
2019,8,2019-08-15,0.420777548087733,0.21954147230111035,1.3383201823577273,2318.853191654343,16
2019,9,2019-09-15,0.4129864224592552,0.2007982174830992,-2.944493097694685,8599.45091314373,21
2019,10,2019-10-15,0.4597166061494989,0.20930188243538259,2.3000332597454065,15072.156976755641,16
2019,11,2019-11-15,0.5888804791279226,0.20465413964067863,0.7661949361960992,841.0500588575649,18
2019,12,2019-12-15,0.5994092493383085,0.1915376752293492,0.4490837058856749,2.7162358131145146,12
2020,1,2020-01-15,0.6007866534791559,0.19210750902867388,0.471701953210297,253.36010292894485,19
2020,2,2020-02-15,0.6100107367616198,0.172069074820252,0.4409253971215242,23.661614665805303,24
2020,3,2020-03-15,0.5420921991261325,0.2201177309750456,-0.5290157638211435,2603.2615613248927,13
2020,4,2020-04-15,0.6246520587564243,0.21856820872582614,0.5723776261343733,302.5483391489591,13
2020,5,2020-05-15,0.6238232111393378,0.17615017468089467,0.42572477265361075,1.1779363506846163,19
2020,6,2020-06-15,0.48898825592207584,0.1799199771379553,-4.098329726731218,6737.771886910329,18
2020,7,2020-07-15,0.5303015771437369,0.21939611875301454,-3.1066553518924267,8468.643375657595,6
2020,8,2020-08-15,0.5121300528463447,0.19298901076370778,1.360030926424431,2627.555178592539,20
2020,9,2020-09-15,0.4497545291985569,0.2334746982101302,8.948185599305704,20965.233796686884,9
2020,10,2020-10-15,0.4831322733345784,0.21918901205645783,1.908930987892113,2975.4159622326756,19
2020,11,2020-11-15,0.5632482729735647,0.2098749670269054,-23.37843473699589,48401.10307889813,14
2020,12,2020-12-15,0.5309443281556192,0.1756664718904883,-3.8687846975581497,10195.616406582101,22
2021,1,2021-01-15,0.5839483137015302,0.19760994780174726,3.143849091782122,5072.451899616856,22
2021,2,2021-02-15,0.5782064325769278,0.2080491388138497,0.3739441901321018,0.40692397852833917,17
2021,3,2021-03-15,0.5186610136352097,0.1895452548317957,4.173060677607287,10097.548523294246,29
2021,4,2021-04-15,0.4663342018255876,0.1937348392681627,0.7463126400322675,1029.3868372884428,16
2021,5,2021-05-15,0.4472697225857183,0.18754072612093006,0.9784494227847269,1126.2998694962414,13
2021,6,2021-06-15,0.5193762176847808,0.19248126599441379,0.5718770304602435,1154.890319357152,16
2021,7,2021-07-15,0.4304463820187035,0.20924577605555875,0.9342965512219084,1465.8468321044145,13
2021,8,2021-08-15,0.2782142513953266,0.2099905471085311,0.2715455042247995,1.812762365259768,9
2021,9,2021-09-15,0.41197783254704773,0.20268073594580652,-2.4730000925736126,6983.646707683539,16
2021,10,2021-10-15,0.42957288553857775,0.2035960305478599,-0.15834243623157526,1267.7249518667222,18
2021,11,2021-11-15,0.49068898471743694,0.2257612655613767,0.6041395673043661,542.0510993069859,23
2021,12,2021-12-15,0.5064947503054613,0.19245355392466543,-0.5638355412076103,2268.9195610986003,20
2022,1,2022-01-15,0.5892104731011877,0.19442309058947144,-2.847019120701311,7287.978219949089,24
2022,2,2022-02-15,0.5154934564373266,0.18722318510587255,-3.4855496362127205,7912.868178252781,17
2022,3,2022-03-15,0.4476482517869299,0.19490558101753833,0.5552035784064047,7337.0481335996965,25
2022,4,2022-04-15,0.33563809003782497,0.1694903743489669,-7.313395150046029,27956.82955946875,16
2022,5,2022-05-15,0.4962570527534212,0.15561354657850376,-1.0123928017144601,13223.198783751675,16
2022,6,2022-06-15,0.33547778613157736,0.20753783645813959,5.822402859424296,16378.687235800364,9
2022,7,2022-07-15,0.42297159565681486,0.24684215236150425,1.5685334995065674,25582.186169100154,8
2022,8,2022-08-15,0.3350757178359473,0.2086337445347691,-1.3162959072427884,4064.0736317686697,9
2022,9,2022-09-15,0.26911608583720426,0.17111062865677873,4.0152437138230335,11517.543441081378,14
2022,10,2022-10-15,0.35636712226900924,0.19130669670157033,1.6822543060489548,1621.7843214052425,26
2022,11,2022-11-15,0.30613718073101137,0.27073166859792547,1.155820967957184,10104.055282526731,7
2022,12,2022-12-15,0.41079181110263246,0.18707267477195139,-6.610589461543038,30730.14387334213,15
